# threads	schedule	chunk_size	time	speedup
22	static	8	6.3919	12.8458
22	static	16	6.09754	13.4659
22	dynamic	1	6.58784	12.4637
22	dynamic	4	6.42815	12.7733
22	dynamic	8	6.22527	13.1896
22	dynamic	16	6.02605	13.6256
22	guided	1	5.58124	14.7116
22	guided	4	5.83219	14.0785
22	guided	8	5.88882	13.9432
22	guided	16	6.25117	13.1349
22	auto	1	5.95432	13.7898
22	auto	4	6.13241	13.3893
22	auto	8	6.15898	13.3316
22	auto	16	6.2425	13.1532
24	static	1	6.33924	12.9525
24	static	4	6.13204	13.3901
24	static	8	6.12145	13.4133
24	static	16	6.07707	13.5112
24	dynamic	1	6.39774	12.834
24	dynamic	4	6.25249	13.1322
24	dynamic	8	5.80318	14.1489
24	dynamic	16	5.8114	14.1289
24	guided	1	5.90509	13.9048
24	guided	4	5.91584	13.8795
24	guided	8	5.94692	13.8069
24	guided	16	5.90766	13.8987
24	auto	1	5.91175	13.8891
24	auto	4	5.92053	13.8685
24	auto	8	5.95711	13.7833
24	auto	16	6.0057	13.6718
26	static	1	6.19054	13.2636
26	static	4	6.05514	13.5602
26	static	8	5.98271	13.7243
26	static	16	5.6984	14.4091
26	dynamic	1	6.21075	13.2204
26	dynamic	4	6.05528	13.5599
26	dynamic	8	5.85639	14.0204
26	dynamic	16	5.63368	14.5746
26	guided	1	5.46161	15.0338
26	guided	4	5.74492	14.2924
26	guided	8	5.77679	14.2136
26	guided	16	5.81704	14.1152
26	auto	1	5.7203	14.3539
26	auto	4	5.73393	14.3198
26	auto	8	5.75911	14.2572
26	auto	16	5.44315	15.0848
28	static	1	6.22121	13.1982
28	static	4	6.0359	13.6034
28	static	8	5.96791	13.7584
28	static	16	5.80892	14.1349
28	dynamic	1	5.53365	14.8381
28	dynamic	4	5.96418	13.767
28	dynamic	8	5.73199	14.3247
28	dynamic	16	5.49022	14.9555
28	guided	1	5.60077	14.6603
28	guided	4	5.57368	14.7315
28	guided	8	5.64695	14.5404
28	guided	16	5.69441	14.4192
28	auto	1	5.32455	15.4208
28	auto	4	5.62513	14.5968
28	auto	8	5.63225	14.5783
28	auto	16	5.69957	14.4061
30	static	1	5.76679	14.2382
30	static	4	4.80063	17.1037
30	static	8	5.54553	14.8063
30	static	16	5.55427	14.783
30	dynamic	1	5.99974	13.6854
30	dynamic	4	5.89306	13.9331
30	dynamic	8	5.65538	14.5187
30	dynamic	16	5.40338	15.1958
30	guided	1	5.51203	14.8963
30	guided	4	5.53602	14.8317
30	guided	8	5.5528	14.7869
30	guided	16	5.61726	14.6172
30	auto	1	5.51343	14.8925
30	auto	4	5.34012	15.3758
30	auto	8	5.55629	14.7776
30	auto	16	5.61647	14.6193
32	static	1	5.96768	13.7589
32	static	4	5.95672	13.7842
32	static	8	5.15141	15.9391
32	static	16	5.88013	13.9638
32	dynamic	1	5.98998	13.7077
32	dynamic	4	5.81385	14.123
32	dynamic	8	5.56452	14.7558
32	dynamic	16	5.29707	15.5008
32	guided	1	5.37052	15.2888
32	guided	4	4.99016	16.4541
32	guided	8	4.92145	16.6839
32	guided	16	5.50398	14.9181
32	auto	1	5.37747	15.269
32	auto	4	5.38604	15.2447
32	auto	8	5.43208	15.1155
32	auto	16	5.4904	14.955
34	static	1	6.08857	13.4857
34	static	4	5.93638	13.8315
34	static	8	5.89536	13.9277
34	static	16	5.41212	15.1713
34	dynamic	1	5.88375	13.9552
34	dynamic	4	5.73737	14.3112
34	dynamic	8	5.44727	15.0734
34	dynamic	16	5.20522	15.7743
34	guided	1	5.08473	16.1481
34	guided	4	5.31309	15.454
34	guided	8	5.36576	15.3024
34	guided	16	5.44602	15.0768
34	auto	1	5.2902	15.5209
34	auto	4	5.30761	15.47
34	auto	8	5.02293	16.3468
34	auto	16	5.44215	15.0876
36	static	1	6.09118	13.4799
36	static	4	5.93625	13.8318
36	static	8	5.87044	13.9868
36	static	16	5.76496	14.2427
36	dynamic	1	5.88025	13.9635
36	dynamic	4	5.79476	14.1695
36	dynamic	8	5.48362	14.9735
36	dynamic	16	5.24997	15.6399
36	guided	1	5.27214	15.5741
36	guided	4	5.31056	15.4614
36	guided	8	5.38564	15.2459
36	guided	16	5.49437	14.9442
36	auto	1	5.23108	15.6963
36	auto	4	4.74618	17.3
36	auto	8	5.37407	15.2787
36	auto	16	5.49224	14.95
38	static	1	6.04399	13.5852
38	static	4	5.9247	13.8587
38	static	8	5.90428	13.9067
38	static	16	4.13171	19.8728
38	dynamic	1	5.87772	13.9695
38	dynamic	4	5.77726	14.2124
38	dynamic	8	5.45058	15.0642
38	dynamic	16	5.08081	16.1606
38	guided	1	5.23978	15.6703
38	guided	4	5.27978	15.5516
38	guided	8	5.05116	16.2554
38	guided	16	5.44734	15.0732
38	auto	1	5.25158	15.6351
38	auto	4	5.27385	15.5691
38	auto	8	5.31993	15.4342
38	auto	16	5.43724	15.1012
40	static	1	6.1177	13.4215
40	static	4	5.91859	13.873
40	static	8	5.8902	13.9399
40	static	16	5.85368	14.0269
40	dynamic	1	5.86533	13.999
40	dynamic	4	5.79509	14.1687
40	dynamic	8	5.46942	15.0123
40	dynamic	16	5.11764	16.0443
40	guided	1	5.27264	15.5726
40	guided	4	5.28395	15.5393
40	guided	8	5.32298	15.4253
40	guided	16	5.08937	16.1334
40	auto	1	5.26552	15.5937
40	auto	4	5.29054	15.5199
40	auto	8	5.30606	15.4745
40	auto	16	5.41918	15.1515
42	static	1	6.13819	13.3767
42	static	4	6.07578	13.5141
42	static	8	6.02226	13.6342
42	static	16	6.07168	13.5232
42	dynamic	1	5.73938	14.3062
42	dynamic	4	5.80475	14.1451
42	dynamic	8	5.4968	14.9376
42	dynamic	16	5.28189	15.5454
42	guided	1	5.29464	15.5079
42	guided	4	5.05498	16.2431
42	guided	8	5.21444	15.7464
42	guided	16	5.29931	15.4942
42	auto	1	5.29776	15.4988
42	auto	4	5.31686	15.4431
42	auto	8	5.35174	15.3425
42	auto	16	5.42822	15.1263
44	static	1	6.24188	13.1545
44	static	4	6.08867	13.4855
44	static	8	5.9307	13.8447
44	static	16	5.8372	14.0665
44	dynamic	1	5.86958	13.9889
44	dynamic	4	5.78669	14.1893
44	dynamic	8	5.49133	14.9524
44	dynamic	16	5.34902	15.3502
44	guided	1	5.32038	15.4329
44	guided	4	5.35071	15.3454
44	guided	8	5.38623	15.2442
44	guided	16	4.84587	16.9441
44	auto	1	5.31557	15.4468
44	auto	4	5.36433	15.3064
44	auto	8	5.19857	15.7945
44	auto	16	5.45859	15.0421
46	static	1	6.19114	13.2623
46	static	4	6.00523	13.6729
46	static	8	6.01186	13.6578
46	static	16	5.87435	13.9775
46	dynamic	1	5.88785	13.9455
46	dynamic	4	5.82949	14.0851
46	dynamic	8	5.5173	14.882
46	dynamic	16	5.38698	15.2421
46	guided	1	5.3487	15.3512
46	guided	4	5.39025	15.2328
46	guided	8	4.77841	17.1833
46	guided	16	5.53651	14.8304
46	auto	1	5.40186	15.2001
46	auto	4	5.43633	15.1037
46	auto	8	5.47892	14.9863
46	auto	16	5.53721	14.8285
48	static	1	4.14847	19.7925
48	static	4	5.13338	15.9951
48	static	8	5.92005	13.8696
48	static	16	5.97526	13.7415
48	dynamic	1	6.05983	13.5497
48	dynamic	4	5.99711	13.6914
48	dynamic	8	5.67729	14.4627
48	dynamic	16	5.50905	14.9043
48	guided	1	5.52754	14.8545
48	guided	4	5.55377	14.7843
48	guided	8	5.58932	14.6903
48	guided	16	5.67978	14.4563
48	auto	1	5.37052	15.2888
48	auto	4	5.40653	15.187
48	auto	8	5.45901	15.041
48	auto	16	5.53679	14.8297
50	static	1	6.15374	13.3429
50	static	4	6.01555	13.6494
50	static	8	6.24131	13.1557
50	static	16	5.92145	13.8663
50	dynamic	1	5.90221	13.9115
50	dynamic	4	5.84547	14.0466
50	dynamic	8	5.55699	14.7758
50	dynamic	16	5.41535	15.1622
50	guided	1	5.39972	15.2061
50	guided	4	5.43519	15.1069
50	guided	8	5.4908	14.9539
50	guided	16	5.57357	14.7318
50	auto	1	5.40453	15.1926
50	auto	4	5.41827	15.1541
50	auto	8	5.49181	14.9511
50	auto	16	5.57409	14.7304
52	static	1	6.14711	13.3573
52	static	4	5.98925	13.7094
52	static	8	5.94729	13.8061
52	static	16	5.94661	13.8077
52	dynamic	1	6.08659	13.4901
52	dynamic	4	6.02371	13.6309
52	dynamic	8	5.76234	14.2492
52	dynamic	16	5.4986	14.9327
52	guided	1	5.41592	15.1606
52	guided	4	5.45343	15.0563
52	guided	8	5.69854	14.4087
52	guided	16	5.74788	14.2851
52	auto	1	5.66358	14.4977
52	auto	4	5.43942	15.0951
52	auto	8	5.51125	14.8984
52	auto	16	5.6078	14.6419
54	static	1	6.02286	13.6329
54	static	4	5.91699	13.8768
54	static	8	5.90624	13.902
54	static	16	5.83576	14.0699
54	dynamic	1	5.94335	13.8152
54	dynamic	4	5.8865	13.9486
54	dynamic	8	5.52235	14.8684
54	dynamic	16	5.31699	15.4427
54	guided	1	5.45853	15.0423
54	guided	4	5.52864	14.8515
54	guided	8	5.59804	14.6674
54	guided	16	5.72765	14.3355
54	auto	1	5.53279	14.8404
54	auto	4	5.54947	14.7958
54	auto	8	5.61382	14.6262
54	auto	16	5.70838	14.3839
56	static	1	6.0925	13.477
56	static	4	5.97413	13.7441
56	static	8	5.94404	13.8136
56	static	16	5.86817	13.9922
56	dynamic	1	6.04476	13.5835
56	dynamic	4	5.95132	13.7967
56	dynamic	8	5.59061	14.6869
56	dynamic	16	5.49259	14.949
56	guided	1	5.54234	14.8148
56	guided	4	5.55974	14.7685
56	guided	8	5.60486	14.6496
56	guided	16	5.71947	14.356
56	auto	1	5.59011	14.6882
56	auto	4	5.61199	14.631
56	auto	8	5.69132	14.427
56	auto	16	5.79005	14.181
58	static	1	6.01844	13.6429
58	static	4	6.26311	13.1099
58	static	8	4.63372	17.7198
58	static	16	5.78274	14.1989
58	dynamic	1	5.83441	14.0732
58	dynamic	4	5.92622	13.8552
58	dynamic	8	5.22917	15.7021
58	dynamic	16	5.61278	14.6289
58	guided	1	5.53098	14.8452
58	guided	4	5.54791	14.8
58	guided	8	5.59015	14.6881
58	guided	16	5.71963	14.3556
58	auto	1	5.5281	14.853
58	auto	4	5.54684	14.8028
58	auto	8	5.38491	15.2479
58	auto	16	5.71766	14.3606
60	static	1	5.97557	13.7407
60	static	4	5.95378	13.791
60	static	8	5.86349	14.0034
60	static	16	5.23531	15.6836
60	dynamic	1	6.06494	13.5383
60	dynamic	4	5.97853	13.7339
